drug	pos_recall	pos_recall_std	neg_recall	neg_recall_std	precision	precision_std	npv	npv_std	balanced_accuracy	balanced_accuracy_std	F1-score_micro	F1-score_micro_std	F1-score_macro	F1-score_macro_std	AUC	cv_mode	mode
Meropenem	0.862	0.107	0.775	0.249	0.894	0.068	0.719	0.162	0.818	0.113	0.877	0.07	0.812	0.112	0.869	block_cv	gpa_snps
Tobramycin	0.627	0.394	0.906	0.238	0.753	0.427	0.842	0.178	0.767	0.159	0.684	0.314	0.779	0.171	0.861	block_cv	gpa_snps
Ciprofloxacin	0.918	0.066	0.836	0.099	0.874	0.12	0.892	0.061	0.877	0.068	0.896	0.086	0.879	0.076	0.936	block_cv	gpa_snps
Ceftazidim	0.421	0.194	0.696	0.189	0.577	0.208	0.55	0.212	0.559	0.131	0.487	0.184	0.551	0.137	0.533	block_cv	gpa_snps
Colistin	0.451	0.251	0.762	0.09	0.34	0.138	0.836	0.055	0.607	0.106	0.388	0.177	0.593	0.094	0.718	standard_cv	gpa_snps
Meropenem	0.882	0.074	0.843	0.175	0.925	0.073	0.765	0.122	0.862	0.1	0.903	0.06	0.853	0.094	0.892	standard_cv	gpa_snps
Tobramycin	0.794	0.16	0.942	0.055	0.862	0.101	0.909	0.056	0.868	0.081	0.827	0.12	0.876	0.078	0.927	standard_cv	gpa_snps
Ciprofloxacin	0.918	0.073	0.852	0.104	0.885	0.073	0.893	0.086	0.885	0.068	0.901	0.06	0.887	0.067	0.95	standard_cv	gpa_snps
Ceftazidim	0.647	0.132	0.622	0.131	0.628	0.083	0.641	0.095	0.634	0.083	0.637	0.088	0.634	0.084	0.654	standard_cv	gpa_snps
Colistin	0.465	0.205	0.812	0.086	0.402	0.157	0.848	0.044	0.639	0.088	0.431	0.141	0.631	0.08	0.696	standard_cv	gpa
Meropenem	0.856	0.064	0.854	0.166	0.928	0.068	0.731	0.097	0.855	0.095	0.891	0.056	0.839	0.088	0.885	standard_cv	gpa
Tobramycin	0.824	0.114	0.946	0.045	0.875	0.097	0.921	0.045	0.885	0.06	0.848	0.082	0.891	0.056	0.929	standard_cv	gpa
Ciprofloxacin	0.78	0.077	0.766	0.102	0.805	0.062	0.737	0.056	0.773	0.049	0.792	0.047	0.772	0.049	0.835	standard_cv	gpa
Ceftazidim	0.647	0.169	0.674	0.176	0.662	0.092	0.659	0.098	0.66	0.077	0.654	0.096	0.66	0.081	0.702	standard_cv	gpa
Colistin	0.38	0.223	0.716	0.23	0.267	0.188	0.81	0.104	0.548	0.137	0.314	0.186	0.537	0.135	0.609	block_cv	snps
Meropenem	0.636	0.22	0.472	0.333	0.725	0.158	0.372	0.175	0.554	0.128	0.678	0.16	0.547	0.119	0.516	block_cv	snps
Tobramycin	0.578	0.39	0.892	0.31	0.711	0.449	0.822	0.319	0.735	0.192	0.638	0.338	0.747	0.208	0.795	block_cv	snps
Ciprofloxacin	0.893	0.108	0.844	0.092	0.877	0.119	0.864	0.094	0.868	0.074	0.885	0.096	0.869	0.082	0.93	block_cv	snps
Ceftazidim	0.624	0.301	0.667	0.314	0.648	0.261	0.643	0.264	0.645	0.125	0.636	0.252	0.645	0.141	0.632	block_cv	snps
Colistin	0.507	0.224	0.793	0.086	0.4	0.174	0.855	0.052	0.65	0.113	0.447	0.191	0.635	0.112	0.737	standard_cv	snps
Meropenem	0.646	0.139	0.472	0.177	0.728	0.07	0.378	0.118	0.559	0.095	0.685	0.093	0.552	0.093	0.579	standard_cv	snps
Tobramycin	0.814	0.117	0.937	0.066	0.856	0.117	0.917	0.049	0.875	0.064	0.834	0.081	0.881	0.061	0.928	standard_cv	snps
Ciprofloxacin	0.925	0.072	0.867	0.102	0.896	0.071	0.902	0.083	0.896	0.067	0.91	0.059	0.897	0.066	0.948	standard_cv	snps
Ceftazidim	0.617	0.091	0.644	0.128	0.631	0.079	0.63	0.07	0.63	0.071	0.624	0.07	0.63	0.073	0.675	standard_cv	snps
Colistin	0.62	0.223	0.87	0.131	0.564	0.196	0.894	0.051	0.745	0.099	0.591	0.178	0.736	0.101	0.837	block_cv	expr
Meropenem	0.877	0.097	0.82	0.162	0.914	0.082	0.753	0.11	0.849	0.096	0.895	0.078	0.84	0.092	0.883	block_cv	expr
Tobramycin	0.637	0.328	0.892	0.147	0.73	0.332	0.843	0.224	0.765	0.12	0.681	0.269	0.774	0.093	0.842	block_cv	expr
Ciprofloxacin	0.648	0.26	0.859	0.144	0.851	0.213	0.663	0.156	0.754	0.14	0.736	0.213	0.742	0.145	0.788	block_cv	expr
Ceftazidim	0.759	0.185	0.815	0.198	0.802	0.137	0.775	0.185	0.787	0.101	0.78	0.133	0.787	0.104	0.856	block_cv	expr
Colistin	0.704	0.311	0.709	0.262	0.397	0.273	0.898	0.101	0.707	0.157	0.508	0.258	0.65	0.174	0.756	block_cv	expr_snps
Meropenem	0.749	0.133	0.831	0.209	0.907	0.099	0.602	0.162	0.79	0.129	0.82	0.098	0.759	0.119	0.881	block_cv	expr_snps
Tobramycin	0.578	0.41	0.937	0.308	0.808	0.409	0.829	0.316	0.758	0.164	0.674	0.369	0.777	0.176	0.806	block_cv	expr_snps
Ciprofloxacin	0.912	0.103	0.844	0.107	0.879	0.134	0.885	0.077	0.878	0.079	0.895	0.1	0.88	0.086	0.942	block_cv	expr_snps
Ceftazidim	0.624	0.215	0.889	0.183	0.847	0.145	0.706	0.228	0.756	0.141	0.719	0.162	0.753	0.155	0.824	block_cv	expr_snps
Colistin	0.535	0.216	0.824	0.091	0.452	0.144	0.867	0.053	0.679	0.102	0.49	0.156	0.668	0.097	0.772	standard_cv	expr_snps
Meropenem	0.846	0.085	0.787	0.132	0.897	0.063	0.7	0.127	0.816	0.083	0.871	0.059	0.806	0.083	0.883	standard_cv	expr_snps
Tobramycin	0.853	0.088	0.937	0.057	0.861	0.102	0.933	0.038	0.895	0.043	0.857	0.059	0.896	0.044	0.946	standard_cv	expr_snps
Ciprofloxacin	0.912	0.079	0.875	0.091	0.901	0.067	0.889	0.084	0.893	0.056	0.906	0.052	0.894	0.057	0.941	standard_cv	expr_snps
Ceftazidim	0.774	0.113	0.837	0.089	0.824	0.092	0.79	0.088	0.806	0.076	0.798	0.085	0.806	0.076	0.856	standard_cv	expr_snps
Colistin	0.69	0.163	0.858	0.077	0.57	0.154	0.911	0.044	0.774	0.084	0.624	0.114	0.754	0.077	0.851	standard_cv	expr
Meropenem	0.851	0.07	0.82	0.119	0.912	0.06	0.716	0.116	0.836	0.083	0.881	0.058	0.823	0.081	0.895	standard_cv	expr
Tobramycin	0.882	0.108	0.924	0.069	0.841	0.107	0.945	0.046	0.903	0.046	0.861	0.062	0.898	0.047	0.934	standard_cv	expr
Ciprofloxacin	0.742	0.103	0.82	0.036	0.837	0.027	0.719	0.079	0.781	0.048	0.787	0.065	0.777	0.053	0.855	standard_cv	expr
Ceftazidim	0.827	0.127	0.815	0.115	0.815	0.083	0.827	0.091	0.821	0.077	0.821	0.085	0.821	0.079	0.875	standard_cv	expr
Colistin	0.423	0.319	0.755	0.217	0.319	0.217	0.828	0.086	0.589	0.104	0.364	0.218	0.577	0.102	0.599	block_cv	gpa
Meropenem	0.862	0.104	0.831	0.14	0.918	0.074	0.733	0.13	0.846	0.087	0.889	0.077	0.834	0.09	0.854	block_cv	gpa
Tobramycin	0.725	0.379	0.955	0.231	0.881	0.393	0.884	0.205	0.84	0.171	0.796	0.354	0.857	0.17	0.87	block_cv	gpa
Ciprofloxacin	0.648	0.239	0.695	0.268	0.725	0.223	0.614	0.247	0.672	0.116	0.684	0.212	0.668	0.122	0.746	block_cv	gpa
Ceftazidim	0.504	0.261	0.741	0.239	0.657	0.26	0.602	0.206	0.622	0.124	0.57	0.233	0.617	0.122	0.647	block_cv	gpa
Colistin	0.366	0.291	0.824	0.113	0.361	0.226	0.827	0.105	0.595	0.136	0.364	0.231	0.594	0.13	0.682	block_cv	gpa_expr
Meropenem	0.897	0.08	0.787	0.171	0.902	0.094	0.778	0.152	0.842	0.097	0.9	0.072	0.841	0.099	0.913	block_cv	gpa_expr
Tobramycin	0.814	0.372	0.955	0.231	0.892	0.416	0.918	0.087	0.884	0.177	0.851	0.366	0.894	0.177	0.94	block_cv	gpa_expr
Ciprofloxacin	0.616	0.266	0.805	0.189	0.797	0.208	0.628	0.133	0.711	0.134	0.695	0.221	0.7	0.11	0.746	block_cv	gpa_expr
Ceftazidim	0.692	0.157	0.881	0.127	0.852	0.136	0.744	0.189	0.787	0.107	0.763	0.143	0.785	0.119	0.878	block_cv	gpa_expr
Colistin	0.704	0.298	0.701	0.304	0.391	0.287	0.897	0.09	0.703	0.164	0.503	0.212	0.645	0.197	0.735	block_cv	gpa_expr_snps
Meropenem	0.851	0.11	0.82	0.267	0.912	0.072	0.716	0.162	0.836	0.126	0.881	0.074	0.823	0.118	0.925	block_cv	gpa_expr_snps
Tobramycin	0.696	0.418	0.924	0.233	0.807	0.401	0.869	0.177	0.81	0.189	0.747	0.398	0.822	0.218	0.912	block_cv	gpa_expr_snps
Ciprofloxacin	0.899	0.085	0.836	0.099	0.872	0.124	0.87	0.09	0.868	0.08	0.885	0.095	0.869	0.087	0.905	block_cv	gpa_expr_snps
Ceftazidim	0.662	0.171	0.919	0.082	0.889	0.115	0.734	0.181	0.79	0.07	0.759	0.119	0.787	0.091	0.847	block_cv	gpa_expr_snps
Colistin	0.606	0.259	0.808	0.074	0.462	0.174	0.883	0.072	0.707	0.14	0.524	0.195	0.684	0.124	0.782	standard_cv	gpa_expr_snps
Meropenem	0.887	0.071	0.876	0.101	0.94	0.047	0.78	0.114	0.882	0.072	0.913	0.053	0.869	0.074	0.943	standard_cv	gpa_expr_snps
Tobramycin	0.882	0.098	0.942	0.047	0.874	0.095	0.946	0.043	0.912	0.056	0.878	0.074	0.911	0.053	0.956	standard_cv	gpa_expr_snps
Ciprofloxacin	0.918	0.078	0.891	0.082	0.912	0.06	0.898	0.084	0.904	0.054	0.915	0.05	0.905	0.054	0.943	standard_cv	gpa_expr_snps
Ceftazidim	0.789	0.137	0.822	0.11	0.814	0.105	0.799	0.1	0.806	0.082	0.802	0.094	0.806	0.083	0.863	standard_cv	gpa_expr_snps
Colistin	0.606	0.273	0.801	0.082	0.453	0.184	0.882	0.075	0.703	0.134	0.518	0.188	0.679	0.116	0.765	standard_cv	gpa_expr
Meropenem	0.923	0.057	0.854	0.108	0.933	0.046	0.835	0.111	0.889	0.063	0.928	0.039	0.886	0.062	0.943	standard_cv	gpa_expr
Tobramycin	0.892	0.103	0.946	0.05	0.883	0.099	0.95	0.046	0.919	0.063	0.888	0.082	0.918	0.06	0.972	standard_cv	gpa_expr
Ciprofloxacin	0.736	0.152	0.867	0.12	0.873	0.092	0.725	0.098	0.802	0.073	0.799	0.102	0.794	0.081	0.861	standard_cv	gpa_expr
Ceftazidim	0.782	0.151	0.844	0.093	0.832	0.079	0.797	0.108	0.813	0.065	0.806	0.081	0.813	0.067	0.878	standard_cv	gpa_expr
Colistin	0.31	0.191	0.808	0.156	0.306	0.302	0.812	0.096	0.559	0.106	0.308	0.181	0.559	0.104	0.584	block_cv	gpa_snps
Meropenem	0.856	0.119	0.753	0.28	0.884	0.062	0.705	0.283	0.805	0.133	0.87	0.079	0.799	0.144	0.859	block_cv	gpa_snps
Tobramycin	0.637	0.393	0.915	0.239	0.774	0.444	0.846	0.182	0.776	0.165	0.699	0.323	0.789	0.174	0.857	block_cv	gpa_snps
Ciprofloxacin	0.899	0.11	0.828	0.102	0.867	0.12	0.869	0.085	0.864	0.076	0.883	0.097	0.865	0.083	0.938	block_cv	gpa_snps
Ceftazidim	0.444	0.178	0.681	0.227	0.578	0.213	0.554	0.221	0.563	0.123	0.502	0.159	0.557	0.125	0.584	block_cv	gpa_snps
Colistin	0.549	0.223	0.828	0.099	0.464	0.16	0.871	0.054	0.688	0.106	0.503	0.153	0.676	0.096	0.757	standard_cv	gpa_snps
Meropenem	0.862	0.056	0.831	0.116	0.918	0.053	0.733	0.096	0.846	0.071	0.889	0.044	0.834	0.068	0.869	standard_cv	gpa_snps
Tobramycin	0.853	0.083	0.937	0.037	0.861	0.081	0.933	0.036	0.895	0.055	0.857	0.076	0.896	0.055	0.928	standard_cv	gpa_snps
Ciprofloxacin	0.918	0.059	0.898	0.073	0.918	0.055	0.898	0.068	0.908	0.052	0.918	0.047	0.908	0.052	0.949	standard_cv	gpa_snps
Ceftazidim	0.602	0.222	0.667	0.209	0.64	0.141	0.629	0.13	0.634	0.115	0.62	0.154	0.634	0.121	0.674	standard_cv	gpa_snps
Colistin	0.479	0.206	0.785	0.122	0.378	0.174	0.847	0.055	0.632	0.123	0.422	0.179	0.619	0.121	0.7	standard_cv	gpa
Meropenem	0.872	0.06	0.831	0.103	0.919	0.045	0.747	0.106	0.852	0.069	0.895	0.046	0.841	0.07	0.88	standard_cv	gpa
Tobramycin	0.853	0.103	0.951	0.039	0.888	0.087	0.934	0.044	0.902	0.061	0.87	0.08	0.906	0.057	0.933	standard_cv	gpa
Ciprofloxacin	0.704	0.149	0.773	0.146	0.794	0.084	0.678	0.089	0.739	0.056	0.747	0.078	0.735	0.06	0.818	standard_cv	gpa
Ceftazidim	0.647	0.234	0.689	0.175	0.672	0.162	0.664	0.168	0.668	0.136	0.659	0.163	0.668	0.137	0.698	standard_cv	gpa
Colistin	0.423	0.253	0.724	0.231	0.294	0.21	0.822	0.104	0.573	0.15	0.347	0.22	0.558	0.147	0.633	block_cv	snps
Meropenem	0.631	0.259	0.494	0.329	0.732	0.157	0.379	0.201	0.563	0.124	0.678	0.187	0.553	0.13	0.545	block_cv	snps
Tobramycin	0.578	0.377	0.901	0.304	0.728	0.395	0.824	0.325	0.74	0.19	0.645	0.321	0.753	0.207	0.771	block_cv	snps
Ciprofloxacin	0.899	0.096	0.836	0.09	0.872	0.117	0.87	0.088	0.868	0.075	0.885	0.095	0.869	0.082	0.921	block_cv	snps
Ceftazidim	0.549	0.156	0.711	0.25	0.652	0.152	0.615	0.232	0.63	0.118	0.596	0.129	0.628	0.121	0.633	block_cv	snps
Colistin	0.563	0.27	0.789	0.113	0.421	0.204	0.869	0.067	0.676	0.135	0.482	0.218	0.655	0.129	0.738	standard_cv	snps
Meropenem	0.651	0.083	0.382	0.165	0.698	0.057	0.333	0.119	0.517	0.087	0.674	0.061	0.515	0.086	0.532	standard_cv	snps
Tobramycin	0.843	0.116	0.919	0.05	0.827	0.088	0.928	0.05	0.881	0.06	0.835	0.077	0.879	0.055	0.912	standard_cv	snps
Ciprofloxacin	0.912	0.067	0.906	0.071	0.924	0.053	0.892	0.073	0.909	0.052	0.918	0.048	0.908	0.052	0.949	standard_cv	snps
Ceftazidim	0.632	0.214	0.637	0.187	0.632	0.113	0.637	0.15	0.634	0.119	0.632	0.141	0.634	0.121	0.661	standard_cv	snps
Colistin	0.549	0.203	0.862	0.138	0.52	0.186	0.875	0.042	0.706	0.081	0.534	0.167	0.701	0.087	0.818	block_cv	expr
Meropenem	0.831	0.09	0.843	0.14	0.92	0.076	0.694	0.112	0.837	0.078	0.873	0.068	0.817	0.07	0.878	block_cv	expr
Tobramycin	0.647	0.384	0.848	0.167	0.66	0.332	0.84	0.219	0.747	0.134	0.653	0.286	0.749	0.102	0.818	block_cv	expr
Ciprofloxacin	0.667	0.269	0.828	0.137	0.828	0.208	0.667	0.175	0.747	0.142	0.739	0.218	0.739	0.113	0.789	block_cv	expr
Ceftazidim	0.752	0.236	0.8	0.235	0.787	0.141	0.766	0.234	0.776	0.134	0.769	0.168	0.776	0.133	0.849	block_cv	expr
Colistin	0.704	0.288	0.72	0.248	0.407	0.271	0.9	0.081	0.712	0.14	0.515	0.227	0.658	0.155	0.749	block_cv	expr_snps
Meropenem	0.769	0.144	0.82	0.215	0.904	0.099	0.619	0.159	0.795	0.117	0.831	0.096	0.768	0.108	0.88	block_cv	expr_snps
Tobramycin	0.559	0.416	0.892	0.308	0.704	0.389	0.816	0.321	0.726	0.183	0.623	0.309	0.738	0.195	0.796	block_cv	expr_snps
Ciprofloxacin	0.925	0.098	0.844	0.107	0.88	0.133	0.9	0.075	0.884	0.078	0.902	0.098	0.886	0.085	0.939	block_cv	expr_snps
Ceftazidim	0.632	0.206	0.874	0.172	0.832	0.126	0.707	0.218	0.753	0.125	0.718	0.149	0.75	0.134	0.831	block_cv	expr_snps
Colistin	0.592	0.213	0.782	0.092	0.424	0.103	0.876	0.052	0.687	0.092	0.494	0.125	0.66	0.077	0.785	standard_cv	expr_snps
Meropenem	0.826	0.085	0.82	0.175	0.91	0.078	0.682	0.139	0.823	0.092	0.866	0.055	0.805	0.086	0.892	standard_cv	expr_snps
Tobramycin	0.843	0.054	0.937	0.048	0.86	0.096	0.929	0.023	0.89	0.038	0.851	0.059	0.892	0.044	0.943	standard_cv	expr_snps
Ciprofloxacin	0.912	0.06	0.867	0.053	0.895	0.041	0.888	0.072	0.89	0.05	0.903	0.046	0.89	0.051	0.933	standard_cv	expr_snps
Ceftazidim	0.797	0.091	0.815	0.145	0.809	0.113	0.803	0.091	0.806	0.095	0.803	0.085	0.806	0.096	0.862	standard_cv	expr_snps
Colistin	0.634	0.18	0.866	0.075	0.562	0.195	0.897	0.046	0.75	0.095	0.596	0.129	0.739	0.085	0.858	standard_cv	expr
Meropenem	0.841	0.06	0.775	0.173	0.891	0.071	0.69	0.104	0.808	0.087	0.865	0.045	0.798	0.078	0.886	standard_cv	expr
Tobramycin	0.843	0.098	0.933	0.047	0.851	0.077	0.929	0.039	0.888	0.049	0.847	0.064	0.889	0.046	0.936	standard_cv	expr
Ciprofloxacin	0.748	0.128	0.805	0.083	0.826	0.062	0.72	0.106	0.777	0.067	0.785	0.079	0.773	0.07	0.844	standard_cv	expr
Ceftazidim	0.835	0.095	0.807	0.113	0.81	0.097	0.832	0.097	0.821	0.092	0.822	0.087	0.821	0.092	0.875	standard_cv	expr
Colistin	0.38	0.27	0.743	0.211	0.287	0.205	0.815	0.082	0.562	0.095	0.327	0.207	0.552	0.106	0.596	block_cv	gpa
Meropenem	0.851	0.105	0.831	0.142	0.917	0.071	0.718	0.125	0.841	0.087	0.883	0.074	0.827	0.086	0.861	block_cv	gpa
Tobramycin	0.735	0.383	0.96	0.233	0.893	0.401	0.888	0.166	0.847	0.17	0.806	0.359	0.864	0.17	0.888	block_cv	gpa
Ciprofloxacin	0.585	0.286	0.836	0.116	0.816	0.168	0.618	0.161	0.71	0.134	0.681	0.27	0.696	0.133	0.773	block_cv	gpa
Ceftazidim	0.549	0.222	0.778	0.289	0.709	0.234	0.636	0.231	0.663	0.089	0.619	0.185	0.659	0.089	0.659	block_cv	gpa
Colistin	0.549	0.309	0.766	0.212	0.39	0.196	0.862	0.079	0.658	0.106	0.456	0.195	0.634	0.107	0.709	block_cv	gpa_expr
Meropenem	0.908	0.08	0.798	0.208	0.908	0.086	0.798	0.123	0.853	0.106	0.908	0.064	0.853	0.101	0.913	block_cv	gpa_expr
Tobramycin	0.833	0.377	0.955	0.231	0.895	0.416	0.926	0.086	0.894	0.183	0.863	0.375	0.902	0.185	0.924	block_cv	gpa_expr
Ciprofloxacin	0.648	0.227	0.742	0.311	0.757	0.198	0.629	0.234	0.695	0.126	0.698	0.183	0.69	0.126	0.73	block_cv	gpa_expr
Ceftazidim	0.669	0.147	0.911	0.137	0.881	0.097	0.737	0.206	0.79	0.103	0.761	0.111	0.788	0.123	0.883	block_cv	gpa_expr
Colistin	0.718	0.248	0.69	0.284	0.386	0.278	0.9	0.081	0.704	0.123	0.502	0.179	0.642	0.161	0.746	block_cv	gpa_expr_snps
Meropenem	0.851	0.101	0.876	0.128	0.938	0.062	0.729	0.098	0.864	0.074	0.892	0.067	0.844	0.071	0.924	block_cv	gpa_expr_snps
Tobramycin	0.775	0.396	0.96	0.152	0.898	0.406	0.903	0.179	0.867	0.183	0.832	0.377	0.881	0.18	0.934	block_cv	gpa_expr_snps
Ciprofloxacin	0.925	0.084	0.836	0.099	0.875	0.125	0.899	0.077	0.88	0.078	0.899	0.097	0.883	0.086	0.92	block_cv	gpa_expr_snps
Ceftazidim	0.624	0.185	0.867	0.128	0.822	0.121	0.701	0.209	0.745	0.102	0.709	0.133	0.742	0.119	0.82	block_cv	gpa_expr_snps
